donor_id,recommended_intervention,expected_retention_improvement,confidence_score,baseline_retention_prob,counterfactual_retention_prob
DON01099,camp_invitation,0.09100000000000003,0.72,0.36011752873588754,0.45111752873588756
DON01634,camp_invitation,0.09100000000000003,0.72,0.3639592541487562,0.4549592541487562
DON02218,camp_invitation,0.09100000000000003,0.72,0.31849980262802524,0.40949980262802527
DON00518,camp_invitation,0.09100000000000003,0.72,0.37045868417515476,0.4614586841751548
DON01426,phone_call,0.07999999999999996,0.8,0.5339099717120221,0.6139099717120221
DON02326,camp_invitation,0.09100000000000003,0.72,0.3268696497720974,0.41786964977209745
DON01328,camp_invitation,0.09100000000000003,0.72,0.33187498612546307,0.4228749861254631
DON02818,camp_invitation,0.09100000000000003,0.72,0.3283675835754745,0.41936758357547455
DON00965,camp_invitation,0.09100000000000003,0.72,0.3249146503202626,0.41591465032026265
DON03204,camp_invitation,0.09100000000000003,0.72,0.33339345498582496,0.424393454985825
DON01797,camp_invitation,0.09100000000000003,0.72,0.3485622853833009,0.43956228538330094
DON03498,camp_invitation,0.09100000000000003,0.72,0.3631429637310379,0.4541429637310379
DON01360,camp_invitation,0.09100000000000003,0.72,0.39211106049159267,0.4831110604915927
DON00534,camp_invitation,0.09100000000000003,0.72,0.3510414655361173,0.44204146553611734
DON02958,camp_invitation,0.09100000000000003,0.72,0.33737001323639043,0.42837001323639046
DON02055,camp_invitation,0.09100000000000003,0.72,0.3612179598090062,0.4522179598090062
DON00822,camp_invitation,0.09100000000000003,0.72,0.3638301301572216,0.4548301301572216
DON02309,camp_invitation,0.09100000000000003,0.72,0.3712243033861444,0.46222430338614445
DON02121,camp_invitation,0.09100000000000003,0.72,0.3590853691859285,0.4500853691859285
DON03076,phone_call,0.07999999999999996,0.8,0.5576899633995993,0.6376899633995993
DON02362,camp_invitation,0.09100000000000003,0.72,0.3836692142769584,0.4746692142769584
DON01819,camp_invitation,0.09100000000000003,0.72,0.3460522003922034,0.43705220039220344
DON00652,camp_invitation,0.09100000000000003,0.72,0.4195110198203394,0.5105110198203394
DON02213,camp_invitation,0.09100000000000003,0.72,0.37398100584661703,0.46498100584661706
DON03249,camp_invitation,0.09100000000000003,0.72,0.44622450212056824,0.5372245021205683
DON02584,camp_invitation,0.09099999999999997,0.72,0.42101118912075064,0.5120111891207506
DON00712,camp_invitation,0.09099999999999997,0.72,0.4860639195030968,0.5770639195030968
DON03258,camp_invitation,0.09100000000000003,0.72,0.37860026311612127,0.4696002631161213
DON00366,camp_invitation,0.09100000000000003,0.72,0.3533169267342819,0.4443169267342819
DON01387,camp_invitation,0.09100000000000003,0.72,0.37193011525452263,0.46293011525452266
DON00921,camp_invitation,0.09100000000000003,0.72,0.36651956157741095,0.45751956157741097
DON00471,camp_invitation,0.09100000000000003,0.72,0.3456607092329557,0.43666070923295575
DON00201,camp_invitation,0.09100000000000003,0.72,0.4708542173002292,0.5618542173002292
DON02605,camp_invitation,0.09100000000000003,0.72,0.38972490085972344,0.48072490085972347
DON02302,camp_invitation,0.09100000000000003,0.72,0.3894168203552444,0.4804168203552444
DON02971,camp_invitation,0.09100000000000003,0.72,0.37668183260885435,0.4676818326088544
DON02590,camp_invitation,0.09100000000000003,0.72,0.38798941079387905,0.4789894107938791
DON01541,camp_invitation,0.09100000000000003,0.72,0.3622360838076167,0.4532360838076167
DON01061,camp_invitation,0.09100000000000003,0.72,0.3602942633969321,0.4512942633969321
DON00037,camp_invitation,0.09100000000000003,0.72,0.38661257891809336,0.4776125789180934
